County,Cases,Reported_Deaths,Date
Gladwin,2,,"2020-04-02"
Gogebic,3,1,"2020-04-02"
Grand Traverse,11,2,"2020-04-02"
Gratiot,5,,"2020-04-02"
Hillsdale,26,2,"2020-04-02"
Houghton,1,,"2020-04-02"
Huron,4,,"2020-04-02"
Ingham,152,1,"2020-04-02"
Ionia,6,,"2020-04-02"
Iosco,1,,"2020-04-02"
Isabella,9,2,"2020-04-02"
Jackson,69,3,"2020-04-02"
Kalamazoo,40,1,"2020-04-02"
Kalkaska,8,1,"2020-04-02"
Kent,136,2,"2020-04-02"
Lapeer,22,,"2020-04-02"
Leelanau,1,,"2020-04-02"
Lenawee,24,,"2020-04-02"
Livingston,121,2,"2020-04-02"
Luce,1,,"2020-04-02"
Mackinac,2,,"2020-04-02"
Macomb,1560,65,"2020-04-02"
Manistee,1,,"2020-04-02"
Marquette,7,,"2020-04-02"
Mecosta,4,1,"2020-04-02"
Midland,16,,"2020-04-02"
Missaukee,1,1,"2020-04-02"
Monroe,95,,"2020-04-02"
Montcalm,12,,"2020-04-02"
Muskegon,30,2,"2020-04-02"
Newaygo,2,,"2020-04-02"
Oakland,2540,136,"2020-04-02"
Oceana,3,,"2020-04-02"
Ogemaw,2,,"2020-04-02"
Osceola,3,,"2020-04-02"
Oscoda,2,,"2020-04-02"
Otsego,20,,"2020-04-02"
Ottawa,37,,"2020-04-02"
Presque Isle,1,,"2020-04-02"
Roscommon,2,,"2020-04-02"
Saginaw,90,,"2020-04-02"
Sanilac,10,1,"2020-04-02"
Shiawassee,18,,"2020-04-02"
St Clair,66,,"2020-04-02"
St Joseph,10,,"2020-04-02"
Tuscola,15,2,"2020-04-02"
Van Buren,12,1,"2020-04-02"
Washtenaw,477,8,"2020-04-02"
Wayne,2546,106,"2020-04-02"
Wexford,4,,"2020-04-02"
Other*,187,1,"2020-04-02"
Unknown,28,,"2020-04-02"
Out of State,74,1,"2020-04-02"
Allegan,5,,"2020-04-01"
Antrim,4,,"2020-04-01"
Arenac,1,,"2020-04-01"
Barry,4,,"2020-04-01"
Bay,16,,"2020-04-01"
Berrien,40,1,"2020-04-01"
Branch,5,,"2020-04-01"
Calhoun,25,,"2020-04-01"
Cass,6,1,"2020-04-01"
Charlevoix,5,,"2020-04-01"
Cheboygan,3,,"2020-04-01"
Chippewa,1,,"2020-04-01"
Clare,1,,"2020-04-01"
Clinton,43,1,"2020-04-01"
Crawford,1,,"2020-04-01"
Delta,4,,"2020-04-01"
Detroit City,2858,101,"2020-04-01"
Dickinson,1,,"2020-04-01"
Eaton,37,1,"2020-04-01"
Emmet,6,1,"2020-04-01"
Genesee,349,10,"2020-04-01"
Gladwin,2,,"2020-04-01"
Gogebic,3,1,"2020-04-01"
Grand Traverse,9,2,"2020-04-01"
Gratiot,5,,"2020-04-01"
Hillsdale,24,1,"2020-04-01"
Houghton,1,,"2020-04-01"
Huron,4,,"2020-04-01"
Ingham,128,1,"2020-04-01"
Ionia,5,,"2020-04-01"
Iosco,1,,"2020-04-01"
Isabella,8,1,"2020-04-01"
Jackson,67,2,"2020-04-01"
Kalamazoo,34,1,"2020-04-01"
Kalkaska,7,1,"2020-04-01"
Kent,125,2,"2020-04-01"
Lapeer,21,,"2020-04-01"
Leelanau,1,,"2020-04-01"
Lenawee,24,,"2020-04-01"
Livingston,113,2,"2020-04-01"
Mackinac,1,,"2020-04-01"
Macomb,1332,58,"2020-04-01"
Manistee,1,,"2020-04-01"
Marquette,5,,"2020-04-01"
Mecosta,3,1,"2020-04-01"
Midland,15,,"2020-04-01"
Missaukee,1,1,"2020-04-01"
Monroe,79,,"2020-04-01"
Montcalm,10,,"2020-04-01"
Muskegon,26,2,"2020-04-01"
Newaygo,2,,"2020-04-01"
Oakland,2183,119,"2020-04-01"
Oceana,2,,"2020-04-01"
Ogemaw,2,,"2020-04-01"
Osceola,3,,"2020-04-01"
Oscoda,2,,"2020-04-01"
Otsego,19,,"2020-04-01"
Ottawa,35,,"2020-04-01"
Roscommon,1,,"2020-04-01"
Saginaw,82,,"2020-04-01"
Sanilac,8,1,"2020-04-01"
Shiawassee,17,,"2020-04-01"
St. Clair,53,,"2020-04-01"
St. Joseph,8,,"2020-04-01"
Tuscola,14,2,"2020-04-01"
Van Buren,12,1,"2020-04-01"
Washtenaw,438,8,"2020-04-01"
Wayne,2211,93,"2020-04-01"
Wexford,3,,"2020-04-01"
Other*,166,,"2020-04-01"
Out of State,48,1,"2020-04-01"
Unknown,12,,"2020-04-01"
Allegan,19,,"2020-04-10"
Antrim,6,,"2020-04-10"
Arenac,4,,"2020-04-10"
Barry,7,,"2020-04-10"
Bay,48,,"2020-04-10"
Berrien,88,2,"2020-04-10"
Branch,25,2,"2020-04-10"
Calhoun,65,1,"2020-04-10"
Cass,12,1,"2020-04-10"
Charlevoix,10,,"2020-04-10"
Cheboygan,10,1,"2020-04-10"
Chippewa,1,1,"2020-04-10"
Clare,3,1,"2020-04-10"
Clinton,90,3,"2020-04-10"
